	MLH3_expression
TCGA-S9-A7J2-01	2.873908950496201
TCGA-VM-A8C8-01	4.55232503981548
TCGA-E1-A7YI-01	3.88159564044696
TCGA-DU-7302-01	2.443661004950991
TCGA-P5-A5EX-01	2.5163018099198915
TCGA-HT-8563-01	3.061195078700324
TCGA-FG-A60K-01	4.341284629282863
TCGA-RY-A83X-01	4.638783184470344
TCGA-DU-A5TR-01	3.3998365318681776
TCGA-CS-5397-01	3.5708454540814567
TCGA-HT-8558-01	4.057068256096208
TCGA-DU-A7TI-01	2.9896641046725065
TCGA-S9-A6U8-01	4.323438982144828
TCGA-DU-5870-01	3.1414259417728845
TCGA-HT-7467-01	3.4231986299134483
TCGA-HT-7874-01	3.6320093505858
TCGA-S9-A6TV-01	4.201216473299516
TCGA-HT-7616-01	3.485718418150128
TCGA-KT-A7W1-01	4.368347594037203
TCGA-DU-6410-01	1.7096371897896565
TCGA-P5-A5F2-01	3.219642907650781
TCGA-HT-7607-01	3.164732670580856
TCGA-HT-7873-01	4.492160838823156
TCGA-HT-7603-01	3.860713918557445
TCGA-DB-A64P-01	2.148982328905134
TCGA-P5-A5F1-01	4.031135702954724
TCGA-DU-7011-01	3.0732546834939973
TCGA-P5-A77X-01	2.312586782057023
TCGA-RY-A843-01	3.1244124703209173
TCGA-HW-7493-01	2.9349894387340902
TCGA-VM-A8CA-01	3.4107837061578063
TCGA-TM-A84O-01	4.046839287698074
TCGA-S9-A7R3-01	3.3270843424324767
TCGA-TQ-A7RN-01	3.3607808748650374
TCGA-P5-A735-01	3.5432321303785246
TCGA-HT-7691-01	3.2935316687292318
TCGA-FG-A6J1-01	2.912940390868048
TCGA-S9-A7R7-01	4.085579065446215
TCGA-DU-6402-01	3.9925426989657433
TCGA-HT-7684-01	3.158191171100893
TCGA-HT-8104-01	4.140444511664335
TCGA-HT-7473-01	3.7417434003404333
TCGA-HT-8019-01	3.1852918959922087
TCGA-TQ-A7RU-01	3.7444982469153634
TCGA-DB-A4XF-01	2.0489070789245747
TCGA-FG-A713-01	3.676090671853844
TCGA-HT-A5RA-01	3.8980326138424974
TCGA-E1-A7YL-01	4.189603760799693
TCGA-CS-5396-01	3.1503137652674464
TCGA-HW-8322-01	4.432320593830972
TCGA-S9-A6U9-01	3.5665075244072715
TCGA-HT-7676-01	2.808059785895204
TCGA-HT-7469-01	2.1583184688254287
TCGA-HW-A5KK-01	3.6453800644366634
TCGA-HT-7478-01	3.5075881030996823
TCGA-DU-A5TW-01	4.1633272083545965
TCGA-S9-A6TX-01	3.937321090669759
TCGA-RY-A83Z-01	4.116741064711702
TCGA-TM-A7C5-01	3.8975585016958685
TCGA-FG-A6IZ-01	4.1286293228578845
TCGA-TQ-A7RP-01	4.174611312673092
TCGA-DH-A7UT-01	4.085049110088924
TCGA-HW-8321-01	3.207637768740399
TCGA-EZ-7264-01	3.6257984084874666
TCGA-CS-6666-01	3.485812670489149
TCGA-DH-A66D-01	4.405346220066295
TCGA-HW-7491-01	3.863631956505689
TCGA-S9-A6U1-01	3.664649444912467
TCGA-E1-5307-01	2.155375411631972
TCGA-CS-6669-01	3.319611298852312
TCGA-VM-A8CE-01	3.413903769499476
TCGA-HT-7481-01	2.9310966283313196
TCGA-DU-8163-01	3.8621224142801385
TCGA-CS-4942-01	2.588059878717784
TCGA-HT-8110-01	3.312331810808125
TCGA-DU-7008-01	3.226288024661041
TCGA-DU-7019-01	1.9650154708865264
TCGA-HT-7482-01	2.804313157367848
TCGA-DU-A7T8-01	2.8743443761230707
TCGA-DU-5870-02	2.766073957510339
TCGA-HT-7854-01	3.6410903727545936
TCGA-TM-A84S-01	3.234510635748648
TCGA-CS-4943-01	3.231891265751334
TCGA-RY-A845-01	4.077148772628587
TCGA-FG-8182-01	3.694869774386959
TCGA-E1-5322-01	3.7261202755382596
TCGA-E1-5319-01	2.25788332859051
TCGA-FG-6688-01	3.7213512757631375
TCGA-HT-8113-01	3.571563973136505
TCGA-HT-7689-01	3.023048853738504
TCGA-FG-7638-01	3.0499244684420868
TCGA-DU-7013-01	4.2953920412298165
TCGA-E1-A7Z3-01	2.615812046483065
TCGA-HT-7476-01	3.064645297468571
TCGA-TQ-A7RG-01	4.1476757787145875
TCGA-FG-8181-01	3.007824018334748
TCGA-DU-A7T6-01	3.953288016628451
TCGA-DB-A4XC-01	2.2422745822848777
TCGA-FG-A4MW-01	3.7856693704974735
TCGA-DH-5142-01	3.1474613351312537
TCGA-TQ-A7RH-01	4.307401439996161
TCGA-DB-A75M-01	3.7011822449792335
TCGA-HT-8012-01	1.7769312766087295
TCGA-P5-A733-01	1.5922636731878916
TCGA-E1-A7Z4-01	4.462825802617748
TCGA-FG-8185-01	3.868923225794908
TCGA-HW-8320-01	3.7004260515509024
TCGA-CS-6667-01	3.171373683204401
TCGA-DB-5279-01	3.2291171184001803
TCGA-HW-7489-01	3.1199666721371746
TCGA-CS-6670-01	3.8578632613496207
TCGA-DB-A64V-01	4.365198329629735
TCGA-DU-5854-01	3.8968645160748334
TCGA-DH-A7UR-01	2.532175790876249
TCGA-S9-A6WL-01	2.298495290089701
TCGA-E1-5318-01	2.9722814928514074
TCGA-DU-6393-01	3.573426758046682
TCGA-DU-6397-02	1.7301545516960422
TCGA-DU-5853-01	3.9078045981745952
TCGA-DB-A75P-01	3.5027564672708364
TCGA-HT-7857-01	3.6476362995071856
TCGA-TM-A84J-01	4.516397918045717
TCGA-FG-5962-01	3.828246019664523
TCGA-F6-A8O4-01	4.22162411007649
TCGA-HT-7880-01	3.5746968462152497
TCGA-TM-A84F-01	3.3991453720178217
TCGA-FG-A70Y-01	3.9754404741003664
TCGA-TM-A84R-01	3.5359734335286053
TCGA-HW-A5KM-01	1.9402012840912075
TCGA-HT-7477-01	3.8072739876407162
TCGA-FG-A87Q-01	3.8314928675923534
TCGA-FG-A70Z-01	3.8856946968151163
TCGA-TM-A84G-01	4.374794015737684
TCGA-FG-A4MU-01	4.4089265176501975
TCGA-DB-A4XB-01	4.168110355377927
TCGA-WY-A85D-01	3.701305936348881
TCGA-FG-7641-01	3.5573591170188656
TCGA-DU-5872-01	2.7268654756475295
TCGA-CS-4941-01	3.1939886490623968
TCGA-FG-6689-01	3.894788101994489
TCGA-DB-5277-01	4.64004454166292
TCGA-HT-A615-01	3.9100282413558056
TCGA-DU-7301-01	1.720714347931684
TCGA-P5-A5EW-01	2.902493751465461
TCGA-E1-A7YN-01	4.286330909031906
TCGA-QH-A6XC-01	3.34859132088007
TCGA-S9-A6WN-01	2.2619206494919237
TCGA-S9-A7R2-01	3.665261631748128
TCGA-DB-A64L-01	4.217848823233283
TCGA-TM-A84I-01	2.640108902107269
TCGA-QH-A6CZ-01	3.310845923504224
TCGA-WY-A858-01	2.4803168984061736
TCGA-VM-A8CF-01	3.758169397588516
TCGA-HT-7608-01	3.005795902334385
TCGA-S9-A7IQ-01	3.671376173290588
TCGA-CS-4938-01	2.9021274957491454
TCGA-DU-8166-01	4.041236581157204
TCGA-HT-8018-01	3.4713728676403925
